production_volume,production_cost,supplier_quality,delivery_delay,defect_rate,quality_score,maintenance_hours,downtime_percentage,downtime_pct_corrected,inventory_turnover,stockout_rate,worker_productivity,safety_incidents,energy_consumption,energy_efficiency,additive_process_time,additive_material_cost,defect_status,high_defect_flag,low_quality_flag,downtime_category,production_volume_category,energy_efficiency_category,stockout_category
769,"$18,387.85",84.66%,1,1.47,78.91%,12,0.17%,0.002%,5.26,6.19%,99.610%,4,4673.878,0.2914,8.87,$421.57,1,0,1,Low,High,Medium,High
539,"$16,023.89",83.74%,4,3.56,87.80%,14,0.48%,0.005%,9.20,2.91%,84.068%,2,1389.761,0.2065,9.17,$289.21,1,1,0,Low,High,Low,Low
775,"$14,878.11",93.05%,1,3.90,93.25%,9,0.51%,0.005%,3.85,0.19%,85.032%,2,1200.626,0.1880,9.01,$141.95,1,1,0,Low,Medium,Low,Low
696,"$9,536.99",82.73%,4,0.79,91.48%,12,0.62%,0.006%,9.13,2.71%,95.168%,0,4607.525,0.1602,1.30,$386.93,1,0,0,Low,High,Low,Low
264,"$18,922.73",91.11%,3,1.68,75.75%,15,0.68%,0.007%,8.28,7.87%,82.361%,3,3579.942,0.2877,8.77,$214.27,1,0,1,Low,Medium,Medium,High
495,"$5,271.86",80.20%,4,0.52,61.89%,18,0.71%,0.007%,8.76,9.64%,81.019%,7,2446.642,0.3601,6.78,$181.06,1,0,1,Low,Low,Medium,High
386,"$16,974.40",97.40%,0,1.90,77.81%,15,0.80%,0.008%,8.54,3.06%,98.199%,2,2013.029,0.3821,7.18,$335.73,1,0,1,Low,Medium,High,Medium
706,"$14,851.34",97.36%,0,3.63,93.43%,10,0.91%,0.009%,8.76,6.96%,90.088%,6,2503.783,0.1377,1.72,$150.65,1,1,0,Low,Low,Low,High
121,"$10,918.58",97.38%,4,1.70,73.00%,8,1.13%,0.011%,8.03,7.84%,80.945%,5,1335.077,0.3008,4.39,$399.19,1,0,1,Low,High,Medium,High
829,"$8,979.89",91.87%,5,4.13,83.18%,20,1.23%,0.012%,6.33,1.97%,84.829%,2,3236.606,0.2143,7.91,$123.07,1,1,0,Low,Low,Low,Low
146,"$10,188.16",81.14%,0,1.25,80.05%,16,1.65%,0.016%,4.18,4.65%,95.687%,0,3344.688,0.4167,2.48,$465.97,1,0,0,Low,High,High,Medium
825,"$19,206.36",88.05%,0,4.60,76.62%,10,1.72%,0.017%,7.70,5.65%,96.447%,6,4854.490,0.3156,6.11,$205.88,1,1,1,Low,Low,Medium,Medium
309,"$13,410.17",98.30%,0,3.60,66.77%,14,1.75%,0.017%,8.30,9.31%,84.684%,9,3223.781,0.2388,3.64,$190.97,1,1,1,Low,High,Medium,High
435,"$19,714.81",92.87%,5,4.38,74.64%,0,1.98%,0.020%,9.05,3.19%,83.032%,7,1190.063,0.2400,9.44,$161.24,1,1,1,Low,Low,Medium,Medium
104,"$15,583.79",90.93%,2,1.10,60.51%,4,2.00%,0.020%,7.80,5.93%,99.997%,7,2056.681,0.3382,5.67,$217.82,1,0,1,Low,Medium,Medium,Medium
554,"$5,836.11",92.17%,1,4.11,73.44%,9,2.01%,0.020%,4.70,0.54%,91.796%,6,4251.930,0.3729,5.92,$243.57,1,1,1,Low,Low,High,Low
567,"$8,763.40",90.52%,5,1.44,79.72%,9,2.06%,0.021%,6.10,8.52%,88.249%,4,1601.118,0.3920,4.87,$379.95,0,0,1,Low,Medium,High,High
106,"$19,934.47",86.19%,4,3.92,75.80%,5,2.31%,0.023%,5.41,2.75%,98.553%,1,3204.585,0.2595,2.01,$361.29,1,1,1,Low,Medium,Medium,Low
783,"$7,369.32",81.83%,4,3.34,96.65%,6,2.38%,0.024%,2.75,0.67%,93.786%,1,1791.283,0.4964,9.36,$103.81,1,1,0,Low,Low,High,Low
935,"$7,493.83",90.41%,3,1.81,70.36%,11,2.82%,0.028%,4.83,3.48%,88.454%,4,4593.779,0.1218,8.13,$365.48,1,0,1,Low,High,Low,Medium
429,"$8,307.56",98.18%,4,1.81,81.40%,3,2.82%,0.028%,5.76,9.50%,94.279%,7,4855.490,0.1992,4.32,$180.58,0,0,0,Low,High,Low,High
688,"$18,695.62",87.56%,4,4.27,71.64%,23,2.90%,0.029%,3.21,2.29%,86.237%,8,3761.843,0.1347,2.51,$412.90,1,1,1,Low,Medium,Low,Low
977,"$15,017.07",80.20%,0,1.47,62.42%,3,3.07%,0.031%,6.06,9.58%,94.267%,0,2956.780,0.4108,2.84,$422.96,1,0,1,Low,Medium,High,High
124,"$16,630.19",91.91%,4,4.53,73.84%,22,3.19%,0.032%,3.69,5.40%,92.525%,7,2668.519,0.2418,1.65,$434.31,1,1,1,Low,High,Medium,Medium
625,"$5,020.30",80.90%,4,2.60,75.25%,3,3.20%,0.032%,9.47,0.48%,94.522%,4,4674.988,0.3629,5.59,$288.83,0,0,1,Low,Low,Medium,Low
762,"$6,787.11",83.07%,5,0.71,73.94%,12,3.25%,0.033%,4.83,6.91%,82.113%,4,2179.294,0.4215,4.60,$230.50,1,0,1,Low,Medium,High,High
910,"$13,320.31",94.61%,5,3.04,73.55%,20,3.41%,0.034%,2.68,2.97%,96.298%,2,2414.840,0.1589,8.05,$218.18,1,1,1,Low,High,Low,Low
935,"$10,985.53",90.76%,3,2.79,86.04%,3,3.41%,0.034%,4.57,3.55%,90.938%,8,1392.619,0.1820,1.04,$416.91,1,0,0,Low,High,Low,Medium
259,"$5,934.10",95.67%,4,4.50,61.40%,15,3.70%,0.037%,3.88,0.23%,91.083%,6,2407.580,0.1898,3.53,$386.12,1,1,1,Low,High,Low,Low
380,"$17,944.95",98.88%,3,1.19,87.38%,15,4.26%,0.043%,8.41,5.29%,96.643%,3,1598.491,0.1005,3.10,$377.77,1,0,0,Low,Low,Low,Medium
993,"$17,721.64",80.94%,1,4.24,91.36%,17,4.34%,0.043%,4.52,6.97%,98.790%,9,2342.182,0.4499,8.82,$290.32,1,1,0,Low,Low,High,High
134,"$6,982.69",90.85%,0,2.23,88.58%,9,4.34%,0.043%,8.62,1.13%,97.571%,0,1213.388,0.2095,4.95,$275.39,0,0,0,Low,High,Low,Low
430,"$8,610.06",81.07%,2,1.40,90.07%,20,4.40%,0.044%,5.52,9.46%,93.722%,8,4808.825,0.2893,6.66,$233.62,1,0,0,Low,Low,Medium,High
549,"$19,207.42",91.33%,5,2.10,87.43%,6,4.79%,0.048%,8.96,8.21%,99.563%,6,3715.256,0.2887,4.15,$436.95,0,0,0,Low,Medium,Medium,High
806,"$13,579.94",96.39%,3,3.45,68.85%,1,4.93%,0.049%,2.20,4.18%,81.023%,6,1771.845,0.1891,6.65,$474.29,1,1,1,Low,Medium,Low,Medium
948,"$17,081.48",98.11%,0,2.51,67.83%,10,5.09%,0.051%,7.03,1.81%,96.859%,1,3370.398,0.1256,6.25,$380.84,1,0,1,Low,High,Low,Low
982,"$18,764.71",88.82%,5,1.60,96.88%,12,5.13%,0.051%,6.61,3.34%,85.651%,4,4210.306,0.3338,5.26,$366.41,1,0,0,Low,High,Medium,Medium
202,"$13,175.40",86.65%,1,3.12,63.46%,9,5.23%,0.052%,8.63,8.13%,85.042%,0,2419.617,0.4689,5.55,$236.44,1,1,1,Low,High,High,High
631,"$15,016.41",90.90%,3,3.26,67.47%,19,5.50%,0.055%,6.87,8.58%,83.765%,8,4010.061,0.1114,9.78,$304.54,1,1,1,Low,Low,Low,High
358,"$8,220.44",93.33%,1,4.18,63.33%,12,6.02%,0.060%,4.94,6.12%,96.891%,1,2002.099,0.1964,5.71,$279.20,1,1,1,Low,Medium,Low,High
